RA,DEC,max,min,med,avg,camera
316.9,-18.05,0,0,0,0,nan
317.1,-58.03,2,0,1,1.104,2
317.1,-58.03,2,0,1,1.104,2
317.1,-58.03,2,0,1,1.104,2
318.5,-64.01,2,0,1,1.212,2
318.5,-64.01,2,0,1,1.212,2
321.6,-18,0,0,0,0,nan
321.6,-18,0,0,0,0,nan
321.6,-18,0,0,0,0,nan
321.9,-0.7178,0,0,0,0,nan
321.9,-0.7178,0,0,0,0,nan
321.9,-0.7178,0,0,0,0,nan
331.9,-37.05,1,0,1,0.927,1
331.9,-37.05,1,0,1,0.927,1
331.9,-37.05,1,0,1,0.927,1
333.5,-81.68,2,0,2,1.853,3
333.5,-81.68,2,0,2,1.853,3
333.5,-81.68,2,0,2,1.853,3
335.2,-20.33,1,0,1,0.857,1
339.5,-52.74,2,0,1,1.118,2
339.5,-52.74,2,0,1,1.118,2
349.7,-18.76,1,0,1,0.87,1
349.7,-18.76,1,0,1,0.87,1
353.9,-42.06,2,0,1,1.048,2
353.9,-42.06,2,0,1,1.048,2
356,-70.4,2,0,2,1.67,3
356,-70.4,2,0,2,1.67,3
356,-70.4,2,0,2,1.67,3
356,-70.4,2,0,2,1.67,3
357.1,-35.09,2,0,1,0.984,2
357.1,-35.09,2,0,1,0.984,2
358,-28.41,1,0,1,0.936,1
358,-28.41,1,0,1,0.936,1
