Semi-column delimated list
--------------------------------------------------------
Format     Meaning                                  Units
f          KOI number
f          New detections flag: 0, 1 or 2
f          TTV frequency                            [*10^-4 d^-1]
f          TTV frequency positive (+) uncertainty   [*10^-4 d^-1]
f          TTV frequency negative (-) uncertainty   [*10^-4 d^-1]
f          TTV period          [d]
f          Delta chi^2
f          Cumulative Chi^2 area test
f          Cumulative Chi^2 single-point test
f          Cumulative Chi^2 RMS test
f          Cumulative Chi^2 correlation test
f          TTV amplitude               [min]
f          TTV amplitude positive (+) uncertainty   [min]
f          TTV amplitude negative (-) uncertainty   [min]
f          TTV reference time          [KBJD]
f          TTV reference time positive (+) uncertainty   [d]
f          TTV reference time negative (-) uncertainty   [d]
f          Confidence
f          STD / median error ratio
Sub-list of other significant frequencies:
     If no other significant frequencies were found
           char       literal string of "--"
     If up to five other significant frequencies were identified
           f, f ....  list of frequencies (comma separated). If more than one than the list of encapsulated in square brackets "[" "]"
           char       literal "+/-"
           f          other TTV frequencies (rough) uncertainty
     If more than five other significant frequencies were identified
           (>5)       literal string
f          Stroboscopic frequency                   [*10^-4 d^-1]
f, f, ...  Comma-separated sub-list of previous references
char       Comment
7352.01      ; 1                  ;      92.43   ;      +0.45                ;      -0.60                    ;   108;     58                      ;      0.245         ;     -0.700         ;      5.324         ;      0.956         ;         88  ;        +12               ;        -13                   ;      225.9      ;       +4.0                   ;       -5.5                       ; 1                ;  1.22        ;  --           ;        442  ;         ; ?; 
7389.01      ; 1                  ;    170.463   ;     +0.103                ;     -0.086                    ;    59;    219                      ;      0.634         ;    -31.670         ;     33.715         ;      0.958         ;      24.09  ;      +0.56               ;      -0.76                   ;     179.39      ;      +0.50                   ;      -0.40                       ; 1                ;  2.88        ;  --           ;        332  ;         ; high freq. pulsations; 
7395.01      ; 1                  ;      20.18   ;      +0.20                ;      -0.22                    ;   496;   6695                      ;      0.214         ;     -5.327         ;     15.113         ;      0.972         ;       3.02  ;      +0.18               ;      -0.19                   ;      362.8      ;       +6.7                   ;       -6.9                       ; 1                ;  1.75        ; [3.4, 31.5] +/-2.7          ;        75.  ;         ; in-phase , likely EB; 
7404.01      ; 0                  ;    1424.29   ;      +1.07                ;      -0.52                    ;     7;     24                      ;      0.279         ;     -1.237         ;      2.382         ;      0.935         ;       16.9  ;       +1.5               ;       -1.9                   ;     133.48      ;      +0.45                   ;      -0.19                       ;  0.991           ;  1.00        ;  --           ;        509  ;         ; ; 
7408.01      ; 0                  ;     335.92   ;      +0.55                ;      -0.99                    ;    30;     39                      ;      0.540         ;     -2.922         ;      4.902         ;      0.821         ;       22.3  ;       +3.1               ;       -3.4                   ;      153.5      ;       +1.0                   ;       -1.1                       ;  0.997           ;  1.42        ;  --           ;        101  ;         ; ; 
7445.01      ; 0                  ;     639.34   ;      +0.64                ;      -0.72                    ;    16;     26                      ;      0.601         ;     -1.451         ;      2.106         ;      0.952         ;       31.0  ;       +5.3               ;       -4.8                   ;     185.64      ;      +0.77                   ;      -0.56                       ;  0.990           ;  2.02        ;  --           ;        460  ;         ; ; 
7449.01      ; 1                  ;    19.4089   ;    +0.0081                ;    -0.0074                    ;   515; 376607                      ;      0.865         ;   -478.937         ;  24579.275         ;      0.941         ;     173.23  ;      +0.23               ;      -0.25                   ;     487.66      ;      +0.11                   ;      -0.11                       ; 1                ; 15.42        ; (>5)          ;        543  ;         ; high freq. pulsations, Bad background filtering; 
7489.01      ; 0                  ;     7486.8   ;       +0.6                ;       -1.9                    ;     1;     35                      ;      0.188         ;     -0.939         ;      2.214         ;      0.967         ;       12.8  ;       +1.9               ;       -1.3                   ;     132.62      ;      +0.06                   ;      -0.24                       ;  0.993           ;  1.03        ;  --           ;        121  ;         ; ; 
7559.01      ; 1                  ;    119.049   ;     +0.051                ;     -0.014                    ;    84;   9363                      ;      1.028         ;    -24.787         ;    866.454         ;      0.981         ;     122.07  ;      +0.58               ;      -0.61                   ;    167.685      ;     +0.619                   ;     -0.099                       ; 1                ;  4.15        ; (>5)          ;        981  ;         ; high freq. pulsations, Bad background filtering; 
7594.01      ; 1                  ;      21.71   ;      +0.18                ;      -0.12                    ;   461;    365                      ;      0.672         ;     -2.385         ;     51.559         ;      0.608         ;      103.3  ;       +5.4               ;       -6.3                   ;      124.0      ;       +6.5                   ;       -3.9                       ; 1                ;  1.44        ; (>5)          ;        919  ;         ; high freq. pulsations; 
