RA,DEC,max,min,med,avg,camera
-287.8,-73.11,13,12,13,12.535,4
-288.7,-67.32,13,12,12,12.435,4
-288.7,-67.32,13,12,12,12.435,4
-290,-58.11,11,8,10,9.603,4
-290,-58.11,11,8,10,9.603,4
-290,-68.24,13,12,12,12.472,4
-290,-68.24,13,12,12,12.472,4
-290.1,-63.52,13,12,13,12.539,4
-290.1,-63.52,13,12,13,12.539,4
-291.1,-78.91,8,6,7,6.823,4
-291.1,-78.91,8,6,7,6.823,4
-291.1,-68.13,13,12,12,12.498,4
-291.1,-68.13,13,12,12,12.498,4
-291.5,-57.71,8,6,8,7.513,4
-291.5,-57.71,8,6,8,7.513,4
-292.8,-57.05,7,5,6,5.98,4
-292.8,-57.05,7,5,6,5.98,4
-292.8,-57.05,7,5,6,5.98,4
-295.3,-73.19,13,12,13,12.617,4
-295.3,-73.19,13,12,13,12.617,4
-295.3,-73.19,13,12,13,12.617,4
-297.5,-40.88,2,0,2,1.744,3
-297.5,-40.88,2,0,2,1.744,3
-298.2,-66.48,13,12,13,12.628,4
-298.2,-66.48,13,12,13,12.628,4
-299.2,-4.146,1,0,1,0.931,1
-299.2,-4.146,1,0,1,0.931,1
-299.4,-66.58,13,12,13,12.643,4
-299.4,-66.58,13,12,13,12.643,4
-308.5,-25.6,2,0,1,1.16,2
-308.5,-25.6,2,0,1,1.16,2
310,-26.47,1,0,1,0.853,1
310,-26.47,1,0,1,0.853,1
-317.1,-58.03,3,2,2,2.291,3
-317.1,-58.03,3,2,2,2.291,3
-317.1,-58.03,3,2,2,2.291,3
318,-31.48,1,0,1,0.877,1
318,-31.48,1,0,1,0.877,1
-318.5,-64.01,3,2,3,2.654,3
-318.5,-64.01,3,2,3,2.654,3
-325.6,-0.4561,1,0,1,0.871,1
-325.6,-0.4561,1,0,1,0.871,1
325.9,-37.08,1,0,1,0.915,1
325.9,-37.08,1,0,1,0.915,1
329.9,-44.9,2,0,1,0.981,2
329.9,-44.9,2,0,1,0.981,2
-333,-52.57,2,0,2,1.582,3
-333,-52.57,2,0,2,1.582,3
334.4,-43.6,2,0,1,0.982,2
334.4,-43.6,2,0,1,0.982,2
-335.1,-1.736,1,0,1,0.864,1
-335.1,-1.736,1,0,1,0.864,1
-335.6,-6.135,1,0,1,0.879,1
-335.6,-6.135,1,0,1,0.879,1
336,-82.05,2,0,2,1.887,3
336,-82.05,2,0,2,1.887,3
339.1,-53.75,1,0,1,0.921,2
339.1,-53.75,1,0,1,0.921,2
341.1,-36.85,1,0,1,0.946,1
341.1,-36.85,1,0,1,0.946,1
-350.1,-4.261,1,0,1,0.853,1
-350.1,-4.261,1,0,1,0.853,1
-353.9,-42.06,2,0,1,1.118,2
-353.9,-42.06,2,0,1,1.118,2
-356,-70.4,2,0,2,1.789,3
-356,-70.4,2,0,2,1.789,3
356.3,-45.51,2,0,1,1.106,2
356.3,-45.51,2,0,1,1.106,2
